labels,LB,AC,FM,UC,ASTV,MSTV,ALTV,MLTV,DL,DS,DP,Width,Min,Max,Nmax,Nzeros,Mode,Mean,Median,Variance,Tendency
anomaly,0.4074074074074074,0.0,0.008865248226950355,0.0,0.8133333333333334,0.0,0.37209302325581395,0.14398422090729782,0.0,0.0,0.0,0.08139534883720931,0.6605504587155964,0.1896551724137931,0.05555555555555555,0.0,0.5433070866141733,0.5412844036697247,0.5092592592592593,0.012448132780082987,0.5
anomaly,0.25925925925925924,0.0,0.0,0.29411764705882354,0.6933333333333334,0.22058823529411764,0.0,0.0,0.6875,0.0,0.6666666666666666,0.5988372093023255,0.11926605504587157,0.4482758620689655,0.5555555555555556,0.1,0.2047244094488189,0.1743119266055046,0.2222222222222222,0.17842323651452283,0.0
anomaly,0.7037037037037037,0.038461538461538464,0.0,0.23529411764705882,0.4533333333333333,0.08823529411764708,0.023255813953488372,0.22682445759368836,0.0,0.0,0.0,0.13372093023255813,0.8073394495412844,0.4051724137931034,0.16666666666666666,0.0,0.8031496062992126,0.7798165137614679,0.7685185185185185,0.02074688796680498,1.0
anomaly,0.6851851851851852,0.0,0.0,0.0,0.7733333333333333,0.014705882352941173,0.5697674418604651,0.10453648915187376,0.0,0.0,0.0,0.029069767441860465,0.7981651376146789,0.2413793103448276,0.05555555555555555,0.0,0.6771653543307087,0.6513761467889908,0.6296296296296297,0.0,0.5
anomaly,0.5925925925925926,0.0,0.0017730496453900709,0.29411764705882354,0.6133333333333333,0.338235294117647,0.0,0.023668639053254437,0.375,0.0,0.3333333333333333,0.5697674418604651,0.045871559633027525,0.33620689655172414,0.4444444444444444,0.1,0.44881889763779526,0.27522935779816515,0.37962962962962965,0.3153526970954357,0.5
anomaly,0.7777777777777778,0.0,0.0,0.29411764705882354,0.5066666666666667,0.04411764705882353,0.7209302325581395,0.09270216962524655,0.0,0.0,0.0,0.011627906976744186,0.944954128440367,0.35344827586206895,0.05555555555555555,0.0,0.7874015748031497,0.7889908256880734,0.7685185185185185,0.0,1.0
anomaly,0.5185185185185185,0.11538461538461539,0.0017730496453900709,0.058823529411764705,0.6666666666666666,0.1911764705882353,0.0,0.0,0.125,0.0,0.6666666666666666,0.6104651162790697,0.1926605504587156,0.5344827586206896,0.2222222222222222,0.0,0.2283464566929134,0.3669724770642202,0.2962962962962963,0.6141078838174274,0.0
anomaly,0.7407407407407407,0.0,0.0,0.11764705882352941,0.5466666666666666,0.07352941176470587,0.5116279069767442,0.15976331360946744,0.0625,0.0,0.0,0.36046511627906974,0.3944954128440367,0.35344827586206895,0.2222222222222222,0.1,0.7637795275590551,0.7247706422018348,0.7222222222222222,0.03319502074688797,1.0
anomaly,0.8518518518518519,0.0,0.0,0.17647058823529413,0.6666666666666666,0.029411764705882356,0.7790697674418605,0.07692307692307691,0.0,0.0,0.0,0.011627906976744186,0.9357798165137615,0.3448275862068966,0.05555555555555555,0.0,0.7874015748031497,0.7798165137614679,0.7592592592592593,0.0,1.0
anomaly,0.5925925925925926,0.0,0.0,0.17647058823529413,0.4266666666666667,0.058823529411764705,0.7093023255813954,0.10059171597633135,0.0,0.0,0.0,0.06395348837209303,0.7339449541284404,0.23275862068965517,0.05555555555555555,0.0,0.6377952755905512,0.6146788990825688,0.5925925925925926,0.0,0.5
anomaly,0.3148148148148148,0.0,0.0,0.058823529411764705,0.8133333333333334,0.014705882352941173,0.8372093023255814,0.10256410256410256,0.0,0.0,0.0,0.11627906976744186,0.5321100917431193,0.1206896551724138,0.16666666666666666,0.0,0.49606299212598426,0.46788990825688076,0.4351851851851852,0.004149377593360996,0.5
anomaly,0.5,0.0,0.01950354609929078,0.17647058823529413,0.64,0.04411764705882353,0.16279069767441862,0.22485207100591714,0.0,0.0,0.0,0.4186046511627907,0.1651376146788991,0.22413793103448276,0.2222222222222222,0.0,0.6062992125984252,0.5779816513761468,0.5555555555555556,0.008298755186721992,1.0
anomaly,0.5,0.0,0.0,0.0,0.8133333333333334,0.014705882352941173,0.9767441860465116,0.0690335305719921,0.0,0.0,0.0,0.0,0.7431192660550459,0.14655172413793102,0.05555555555555555,0.0,0.5826771653543307,0.5596330275229358,0.5277777777777778,0.0,0.5
anomaly,0.7037037037037037,0.0,0.0070921985815602835,0.0,0.64,0.058823529411764705,0.08139534883720931,0.16765285996055226,0.0625,0.0,0.0,0.5930232558139535,0.06422018348623854,0.3879310344827586,0.16666666666666666,0.0,0.6614173228346457,0.6972477064220184,0.6574074074074074,0.04149377593360996,1.0
anomaly,0.8333333333333334,0.0,0.0,0.0,0.48,0.058823529411764705,0.7906976744186046,0.07889546351084813,0.0,0.0,0.0,0.0,0.9541284403669725,0.3448275862068966,0.0,0.0,0.7795275590551181,0.7798165137614679,0.7592592592592593,0.0,0.5
anomaly,0.8333333333333334,0.0,0.0,0.35294117647058826,0.6,0.35294117647058826,0.18604651162790697,0.5601577909270217,0.25,0.0,0.0,0.8197674418604651,0.009174311926605505,0.6724137931034483,0.6666666666666666,0.8,0.7559055118110236,0.7064220183486238,0.7314814814814815,0.23236514522821577,1.0
anomaly,0.7037037037037037,0.0,0.010638297872340425,0.0,0.8933333333333333,0.014705882352941173,0.8953488372093024,0.15581854043392504,0.0,0.0,0.0,0.4186046511627907,0.1926605504587156,0.25,0.1111111111111111,0.0,0.6692913385826772,0.6513761467889908,0.6296296296296297,0.004149377593360996,1.0
anomaly,0.7222222222222222,0.0,0.03546099290780142,0.0,0.8266666666666667,0.014705882352941173,0.3488372093023256,0.16765285996055226,0.0,0.0,0.0,0.26744186046511625,0.7431192660550459,0.5431034482758621,0.1111111111111111,0.0,0.6692913385826772,0.6513761467889908,0.6296296296296297,0.004149377593360996,0.0
anomaly,0.7037037037037037,0.038461538461538464,0.0,0.11764705882352941,0.49333333333333335,0.07352941176470587,0.03488372093023256,0.19329388560157792,0.0,0.0,0.0,0.20930232558139536,0.8256880733944955,0.5344827586206896,0.16666666666666666,0.0,0.8031496062992126,0.7798165137614679,0.7777777777777778,0.016597510373443983,0.5
anomaly,0.3148148148148148,0.0,0.0,0.058823529411764705,0.8266666666666667,0.014705882352941173,0.7441860465116279,0.11637080867850098,0.0,0.0,0.0,0.2558139534883721,0.3119266055045872,0.1206896551724138,0.16666666666666666,0.0,0.49606299212598426,0.46788990825688076,0.4444444444444444,0.004149377593360996,1.0
anomaly,0.5925925925925926,0.0,0.0,0.17647058823529413,0.44,0.11764705882352942,0.23255813953488372,0.24260355029585798,0.0,0.0,0.0,0.5290697674418605,0.28440366972477066,0.5,0.4444444444444444,0.2,0.8031496062992126,0.7614678899082569,0.75,0.03319502074688797,1.0
anomaly,0.5925925925925926,0.0,0.0,0.29411764705882354,0.6,0.338235294117647,0.0,0.01380670611439842,0.4375,0.0,0.0,0.5697674418604651,0.045871559633027525,0.33620689655172414,0.3333333333333333,0.1,0.5905511811023622,0.3302752293577982,0.4166666666666667,0.46887966804979253,1.0
